index,filename,path,slope_param,observed_slope,n,sigma,dot_size_px,x_values,y_values
0,neutral_0000.png,neutral/neutral_0000.png,0,-0.346621,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.589175,0.670982,0.674312,0.646683,0.742566,0.709090,0.225478,0.470653,0.414612,0.520607,0.261384,0.325899,0.423474,0.389192,0.435893"
1,neutral_0001.png,neutral/neutral_0001.png,0,-0.0565,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.607542,0.547712,0.334883,0.345864,0.582656,0.663043,0.616126,0.564833,0.462070,0.442993,0.499735,0.414196,0.327346,0.620674,0.470327"
2,neutral_0002.png,neutral/neutral_0002.png,0,0.004246,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.652611,0.477503,0.327681,0.476415,0.664314,0.127524,0.850018,0.414338,0.411747,0.477879,0.600757,0.563994,0.371389,0.709232,0.374599"
3,neutral_0003.png,neutral/neutral_0003.png,0,0.032115,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.585966,0.265887,0.447247,0.735222,0.534378,0.417183,0.403501,0.647582,0.583408,0.293411,0.531884,0.438508,0.489335,0.494476,0.632010"
4,neutral_0004.png,neutral/neutral_0004.png,0,0.159873,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.294855,0.484933,0.501173,0.362493,0.515999,0.577294,0.463292,0.463142,0.605226,0.421436,0.739351,0.418629,0.536937,0.539271,0.575968"
5,neutral_0005.png,neutral/neutral_0005.png,0,-0.181584,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.789638,0.584651,0.552998,0.668680,0.597469,0.273855,0.376827,0.348560,0.315523,0.599152,0.233230,0.610053,0.666830,0.605249,0.277283"
6,neutral_0006.png,neutral/neutral_0006.png,0,0.11826,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.644601,0.557144,0.209802,0.583492,0.615909,0.093326,0.464247,0.724133,0.455248,0.172303,0.460485,0.555433,0.640647,0.766996,0.556233"
7,neutral_0007.png,neutral/neutral_0007.png,0,0.103903,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.523835,0.386797,0.040007,0.601612,0.231269,0.858774,0.604769,0.765707,0.575884,0.583866,0.317040,0.362560,0.787398,0.417051,0.443431"
8,neutral_0008.png,neutral/neutral_0008.png,0,0.018727,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.677059,0.265934,0.286434,0.341220,0.552498,0.592216,0.512652,0.754089,0.556750,0.650837,0.593950,0.448315,0.584101,0.280486,0.403460"
9,neutral_0009.png,neutral/neutral_0009.png,0,0.08877,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.220108,0.587515,0.671943,0.449539,0.361473,0.542866,0.470029,0.732126,0.422833,0.450558,0.417055,0.284814,0.706326,0.886392,0.296422"
10,neutral_0010.png,neutral/neutral_0010.png,0,-0.127248,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.611521,0.645601,0.363629,0.516245,0.630369,0.595185,0.394888,0.494410,0.490571,0.318865,0.439924,0.683315,0.485959,0.448960,0.380556"
11,neutral_0011.png,neutral/neutral_0011.png,0,0.07055,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.444385,0.476645,0.487204,0.344271,0.656025,0.324107,0.508853,0.303519,0.838592,0.812490,0.431765,0.334289,0.498586,0.544023,0.495246"
12,neutral_0012.png,neutral/neutral_0012.png,0,0.194272,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.336089,0.462820,0.575177,0.565582,0.336311,0.571359,0.287628,0.427769,0.123550,0.536836,0.921256,0.651519,0.673472,0.556395,0.474239"
13,neutral_0013.png,neutral/neutral_0013.png,0,-0.039819,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.746745,0.485420,0.392997,0.451856,0.738232,0.433202,0.444214,0.412991,0.389523,0.395790,0.635349,0.392004,0.369289,0.347242,0.865147"
14,neutral_0014.png,neutral/neutral_0014.png,0,0.076561,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.452218,0.504845,0.484078,0.265353,0.472915,0.612987,0.395220,0.515830,0.607602,0.649022,0.576986,0.501634,0.672997,0.278757,0.509556"
15,neutral_0015.png,neutral/neutral_0015.png,0,-0.09747,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.436029,0.246720,0.490208,0.687545,0.685447,0.624326,0.520552,0.506974,0.626584,0.513916,0.571141,0.581644,0.381221,0.384472,0.243221"
16,neutral_0016.png,neutral/neutral_0016.png,0,0.02869,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.532915,0.453202,0.347202,0.470527,0.690087,0.321598,0.356305,0.624033,0.588637,0.615691,0.566660,0.659572,0.498069,0.365850,0.409652"
17,neutral_0017.png,neutral/neutral_0017.png,0,-0.061257,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.516283,0.437206,0.538073,0.704510,0.287739,0.576294,0.528025,0.531931,0.366095,0.890035,0.361482,0.433310,0.323527,0.555617,0.449874"
18,neutral_0018.png,neutral/neutral_0018.png,0,0.13527,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.369900,0.357661,0.382114,0.370257,0.566356,0.487833,0.642368,0.625774,0.671206,0.508480,0.404516,0.677684,0.522796,0.468463,0.444594"
19,neutral_0019.png,neutral/neutral_0019.png,0,0.18188,15,0.15,10,"0.000000,0.071429,0.142857,0.214286,0.285714,0.357143,0.428571,0.500000,0.571429,0.642857,0.714286,0.785714,0.857143,0.928571,1.000000","0.307119,0.324163,0.483701,0.260022,0.698266,0.630043,0.662789,0.374333,0.453291,0.518584,0.424240,0.717835,0.711740,0.521666,0.412207"
